load time,39314
Iteration,sampling time(ms),aggregation time(ms), samp+agg(ms),histo(ms),return time(ms), Iteration Time (ms)
1,2,29,33,0,0,34
2,0,24,25,8,0,34
3,0,25,25,3,0,29
4,0,25,26,3,0,29
5,0,23,24,2,0,27
6,0,22,23,2,0,26
7,0,23,24,2,0,27
8,0,24,24,2,0,27
9,0,23,23,2,0,26
10,0,25,25,2,0,28
11,0,23,24,2,0,27
12,0,23,23,1,0,25
13,0,23,23,1,0,24
14,0,23,24,1,0,25
15,0,22,23,1,0,24
16,0,23,24,1,0,25
17,0,22,23,1,0,24
18,0,23,24,1,0,25
19,0,23,23,1,0,25
20,0,23,24,1,0,26
21,0,23,24,1,0,25
22,0,23,24,1,0,25
23,0,23,24,1,0,25
24,0,23,23,1,0,25
25,0,23,24,1,0,25
26,0,24,25,1,0,26
27,0,25,25,1,0,27
28,0,25,25,1,0,27
29,0,23,23,1,0,25
30,0,23,23,1,0,25
31,0,23,23,1,0,25
32,0,23,24,1,0,25
33,0,23,24,0,0,25
34,0,23,23,0,0,24
35,0,23,23,0,0,24
36,0,23,23,1,0,25
37,0,23,23,0,0,24
38,0,23,23,0,0,24
39,0,23,24,0,0,25
40,0,23,23,0,0,24
41,0,23,23,0,0,24
42,0,23,23,0,0,24
43,0,23,24,0,0,25
44,0,22,23,0,0,24
45,0,22,23,0,0,24
46,0,23,23,0,0,24
47,0,23,23,0,0,24
48,0,23,24,0,0,25
49,0,24,24,0,0,25
50,0,24,25,0,0,25
51,0,23,24,0,0,24
52,0,23,23,0,0,24
53,0,23,23,0,0,24
54,0,24,24,0,0,25
55,0,23,23,0,0,24
56,0,23,23,0,0,24
57,0,23,23,1,0,24
58,0,23,23,0,0,24
59,0,23,23,0,0,24
60,0,23,23,0,0,24
61,0,23,23,0,0,24
62,0,23,24,0,0,25
63,0,22,22,0,0,23
64,0,23,23,0,0,24
65,0,23,23,0,0,24
66,0,23,23,0,0,24
67,0,23,23,0,0,24
68,0,23,23,0,0,24
