load time,38618
Iteration,sampling time(ms),aggregation time(ms), samp+agg(ms),histo(ms),return time(ms), Iteration Time (ms)
1,2,30,34,0,4,40
2,0,25,26,8,3,38
3,0,25,26,3,2,33
4,0,25,27,2,2,32
5,0,24,25,3,2,31
6,0,23,24,4,3,32
7,0,26,27,2,3,33
8,0,24,25,2,3,31
9,0,24,24,2,4,31
10,0,26,27,2,4,34
11,0,25,26,4,6,38
12,0,25,26,2,6,36
13,0,26,27,1,5,35
14,0,26,27,2,7,37
15,0,24,25,2,7,36
16,0,25,26,1,5,33
17,0,24,25,1,6,33
18,0,24,25,1,6,33
19,0,25,26,3,6,36
20,0,25,26,2,7,36
21,0,24,25,1,7,34
22,0,24,25,1,7,35
23,0,24,24,2,11,39
24,0,24,25,1,7,34
25,0,25,25,2,8,36
26,0,23,24,1,9,35
27,0,26,27,1,11,41
28,0,26,27,1,7,37
29,0,24,24,1,9,35
30,0,24,24,1,8,34
31,0,23,24,1,8,34
32,0,24,24,0,8,34
33,0,24,24,0,8,34
34,0,23,24,0,8,34
35,0,23,23,0,9,33
36,0,23,23,0,9,34
37,0,23,23,0,9,34
38,0,23,23,0,9,34
39,0,23,23,0,9,34
40,0,23,24,0,10,35
41,0,23,23,0,10,35
42,0,23,23,0,11,35
43,0,23,23,0,11,36
44,0,23,23,0,11,36
45,0,24,24,0,12,37
46,0,23,24,0,9965,9990
47,0,23,23,0,12,36
48,0,23,23,0,12,37
49,0,23,23,0,13,37
50,0,23,23,0,13,38
51,0,24,24,0,13,38
52,0,23,24,0,13,38
53,0,23,23,0,14,38
54,0,23,24,0,14,39
55,0,23,24,0,14,40
56,0,23,24,0,14,40
57,0,23,23,0,15,39
58,0,24,24,0,15,41
59,0,23,24,0,15,40
60,0,23,23,0,16,41
61,0,22,23,0,16,40
62,0,23,24,0,16,42
63,0,23,23,0,16,41
64,0,23,23,0,17,42
65,0,23,23,0,18,42
66,0,23,24,0,18,43
67,0,23,24,0,18,43
68,0,23,23,0,18,43
69,0,23,24,0,26285,26310
70,0,25,26,0,22,49
71,0,25,26,0,20,48
72,0,24,25,0,19,46
73,0,24,24,0,20,46
