load time,38786
Iteration,sampling time(ms),aggregation time(ms), samp+agg(ms),histo(ms),return time(ms), Iteration Time (ms)
1,2,29,33,0,4,39
2,1,24,26,8,3,38
3,0,25,26,3,2,33
4,0,25,26,3,1,31
5,0,24,25,2,2,31
6,0,25,26,4,3,34
7,0,22,23,3,3,30
8,0,22,23,2,3,29
9,0,22,23,2,3,30
10,0,21,22,2,4,28
11,0,21,23,3,5,33
12,0,21,22,2,4,29
13,0,23,24,1,5,31
14,0,21,22,1,5,29
15,0,20,21,1,4,28
16,0,21,22,1,5,29
17,0,20,21,2,9,33
18,0,22,23,1,6,31
19,0,21,22,1,6,31
20,0,22,23,1,7,32
21,0,21,22,1,11,36
22,1,24,25,2,12,40
23,0,21,22,1,7,32
24,0,20,21,1,8,31
25,0,20,21,1,7,30
26,0,20,21,1,7,30
27,0,20,21,1,7,29
28,0,20,21,1,7,30
29,0,20,21,1,7,30
30,0,21,22,1,8,31
31,0,21,22,1,8,32
32,0,21,22,1,8,31
33,0,21,22,1,8,32
34,0,20,21,1,9,32
35,0,20,21,1,9,32
36,0,21,22,2,14,38
37,0,21,22,1,10,34
38,0,21,22,1,10,34
39,0,21,21,1,10,33
40,0,20,21,1,11,33
41,0,20,21,0,10,33
42,0,20,21,0,10,32
43,0,20,21,0,11,33
44,0,22,23,0,11,35
45,0,20,21,0,11,34
46,0,20,21,0,12,34
47,0,20,21,0,9818,9840
48,0,20,21,0,12,34
49,0,20,21,0,13,35
50,0,20,20,0,13,35
51,0,20,20,0,13,34
52,0,20,20,0,13,35
53,0,20,20,0,14,36
54,0,20,21,0,14,36
55,0,20,21,0,14,36
56,0,19,20,0,14,36
57,0,21,22,0,15,38
58,0,20,20,0,15,37
59,0,20,21,0,16,37
60,0,20,20,0,16,38
61,0,20,21,0,16,39
62,0,20,21,0,16,38
63,0,20,21,0,17,39
64,0,20,21,0,17,39
65,0,20,21,0,18,40
66,0,20,21,0,18,40
67,0,20,21,0,19,41
68,0,20,21,0,18,41
69,0,20,21,0,26591,26614
70,0,23,23,0,22,47
71,0,23,23,0,21,46
72,0,23,24,0,20,45
73,0,22,23,0,20,44
74,0,22,23,0,20,45
75,0,22,22,0,21,44
76,0,21,22,0,21,44
77,0,21,22,0,21,44
78,0,22,22,0,22,45
79,0,22,22,0,23,46
80,0,21,22,0,22,45
81,0,21,21,0,23,46
82,0,21,22,0,23,46
83,0,21,22,0,23,46
84,0,22,22,0,23,47
85,0,21,22,0,8746,8768
86,0,20,20,0,24,46
87,0,20,21,0,25,47
88,0,21,21,0,25,47
89,0,20,20,0,25,47
90,0,21,21,0,26,48
91,0,20,20,0,26,48
92,0,20,21,0,26,48
93,0,20,21,0,27,49
94,0,21,21,0,27,50
95,0,21,22,0,27,50
96,0,20,21,0,27,50
97,0,20,21,0,28,50
98,0,20,20,0,8379,8401
99,0,19,20,0,28,49
100,0,20,21,0,29,51
101,0,20,21,0,29,51
102,0,20,20,0,30,52
103,0,20,21,0,30,53
104,0,20,21,0,30,52
105,0,21,21,0,30,53
106,0,20,20,0,31,52
107,0,20,20,0,31,53
108,0,21,21,0,31,54
109,0,21,21,0,32,55
110,0,20,21,0,8335,8357
111,0,20,20,0,32,54
112,0,20,20,0,33,55
113,0,20,20,0,33,55
114,0,20,21,0,34,56
115,0,21,21,0,34,57
116,0,21,21,0,34,57
117,0,20,20,0,34,56
118,0,20,21,0,35,57
119,0,20,21,0,36,58
120,0,20,21,0,8450,8473
121,0,19,20,0,36,58
122,0,20,20,0,36,58
123,0,20,20,0,36,58
124,0,20,21,0,37,59
125,0,20,21,0,38,60
126,0,20,21,0,38,60
127,0,20,21,0,38,60
128,0,20,21,0,39,61
129,0,21,21,0,40,62
130,0,20,20,0,8413,8435
131,0,20,21,0,41,63
132,0,20,20,0,41,63
133,0,20,21,0,40,62
134,0,20,21,0,41,63
135,0,20,21,0,42,64
136,0,20,20,0,43,64
137,0,21,21,0,42,65
138,0,21,21,0,8353,8375
139,0,19,20,0,43,65
140,0,20,21,0,44,66
141,0,20,20,0,44,65
142,0,20,21,0,44,66
143,0,20,20,0,44,66
144,0,20,20,0,45,66
145,0,20,21,0,45,67
146,0,20,21,0,46,68
147,0,20,20,0,8181,8203
148,0,20,20,0,46,68
149,0,19,20,0,47,68
150,0,20,20,0,47,69
151,0,20,20,0,48,70
152,0,20,20,0,48,69
153,0,20,21,0,49,71
154,0,20,21,0,8850,8872
155,0,20,20,0,52,74
156,0,20,20,0,58,80
157,0,20,20,0,50,71
158,0,20,20,0,50,72
159,0,20,20,0,50,72
160,0,19,20,0,51,72
161,0,20,21,0,51,73
162,0,19,20,0,8642,8664
163,0,20,20,0,52,73
164,0,19,20,0,60,82
165,0,21,21,0,64,86
166,0,20,21,0,63,86
167,0,20,21,0,64,86
168,0,20,21,0,57,79
169,0,20,21,0,8492,8514
170,0,20,21,0,54,76
171,0,20,20,0,55,76
172,0,20,21,0,55,78
173,0,20,20,0,58,79
174,0,20,21,0,57,79
175,0,21,21,0,8307,8330
176,0,20,20,0,58,80
177,0,20,21,0,58,80
178,0,20,20,0,58,80
179,0,20,20,0,59,81
180,0,20,21,0,60,81
181,0,20,21,0,8609,8631
182,0,19,20,0,63,84
183,0,20,21,0,60,82
184,0,20,21,0,61,83
185,0,20,20,0,61,83
186,0,20,20,0,62,83
187,0,20,21,0,8894,8916
188,0,20,20,0,65,87
189,0,20,21,0,63,86
190,0,21,22,0,64,87
191,0,20,21,0,64,86
192,0,20,21,0,65,88
193,0,20,21,0,8395,8417
194,0,20,21,0,65,87
195,0,20,21,0,66,88
196,0,20,20,0,66,87
197,0,20,21,0,67,89
198,0,20,21,0,66,88
199,0,20,21,0,8343,8365
200,0,20,20,0,67,89
201,0,20,21,0,69,91
202,0,20,21,0,68,90
203,0,20,21,0,68,91
204,0,20,21,0,8431,8453
205,0,20,20,0,69,90
206,0,20,21,0,70,92
207,0,21,21,0,71,93
208,0,20,21,0,71,93
209,0,20,21,0,8315,8337
210,0,20,20,0,71,93
211,0,20,21,0,72,94
212,0,21,21,0,73,96
213,0,20,20,0,73,94
214,0,20,21,0,8962,8984
215,0,20,20,0,74,95
216,0,20,21,0,74,96
217,0,20,21,0,75,98
218,0,20,20,0,76,97
219,0,20,21,0,8556,8577
220,0,20,21,0,76,97
221,0,20,21,0,76,98
222,0,20,21,0,77,99
223,0,20,21,0,77,100
224,0,20,21,0,8782,8804
225,0,20,21,0,79,101
226,0,20,21,0,78,101
227,0,20,20,0,79,101
228,0,21,21,0,9037,9059
229,0,20,20,0,80,102
230,0,21,22,0,80,103
231,0,20,21,0,81,103
232,0,20,21,0,82,104
233,0,20,21,0,8302,8325
234,0,20,21,0,83,105
235,0,19,20,0,82,104
236,0,20,21,0,84,106
237,0,20,21,0,8367,8389
238,0,19,20,0,93,115
239,0,20,21,0,101,123
240,0,20,21,0,97,119
241,0,20,21,0,8545,8567
242,0,19,20,0,86,107
243,0,19,20,0,87,108
244,0,20,21,0,87,110
245,0,20,21,0,102,124
246,0,20,21,0,8895,8918
247,0,20,20,0,88,110
248,0,20,20,0,89,111
249,0,20,21,0,91,113
250,0,20,21,0,8601,8623
251,0,20,20,0,90,112
252,0,20,21,0,91,112
253,0,20,21,0,91,113
254,0,20,21,0,8764,8786
255,0,19,20,0,92,113
256,0,20,21,0,93,115
257,0,21,21,0,97,119
258,0,20,20,0,8466,8488
259,0,20,21,0,99,121
260,0,20,21,0,97,119
261,0,21,21,0,8852,8875
262,0,20,20,0,98,120
263,0,20,20,0,99,121
264,0,20,21,0,100,122
265,0,20,21,0,8785,8807
266,0,20,21,0,101,123
267,0,21,21,0,102,124
268,0,20,20,0,8301,8323
269,0,20,21,0,102,124
270,0,20,20,0,104,125
271,0,20,20,0,8983,9004
272,0,20,20,0,104,126
273,0,20,21,0,104,126
274,0,20,21,0,105,127
275,0,20,21,0,8439,8461
276,0,20,21,0,105,128
277,0,20,21,0,106,128
278,0,20,21,0,8396,8418
279,0,21,21,0,107,129
280,0,20,21,0,107,129
281,0,21,21,0,8329,8352
282,0,20,21,0,109,131
283,0,20,21,0,110,132
284,0,21,21,0,8338,8360
285,0,20,20,0,109,131
286,0,20,20,0,112,133
287,0,20,21,0,8347,8369
288,0,19,20,0,130,151
289,0,20,21,0,122,144
290,0,20,21,0,8797,8819
291,0,20,20,0,112,134
292,0,20,20,0,126,148
293,0,20,20,0,8389,8411
294,0,20,20,0,114,136
295,0,20,21,0,115,137
296,0,20,20,0,8693,8714
297,0,20,20,0,116,137
298,0,19,20,0,117,138
299,0,20,21,0,9038,9060
300,0,20,20,0,119,141
301,0,21,21,0,118,141
302,0,20,21,0,8404,8426
303,0,20,20,0,120,142
304,0,21,21,0,120,143
305,0,21,21,0,8795,8817
306,0,20,20,0,121,143
